,Unnamed: 0,artist,city,venue,showName,genre,weekend,month,maxprice,minprice,id,score,pop
929,Danny Ocean5,Danny Ocean,New York,Irving Plaza,Danny Ocean - Tour 2023,Latin,0,2,64.5,44.5,k7vGF9KenqSlM,79,18046.0
930,Danny Ocean6,Danny Ocean,San Diego,House of Blues San Diego,Danny Ocean - Tour 2023,Latin,1,2,64.5,44.5,vvG1IZ93X1foT4,79,2297.0
931,Danny Ocean7,Danny Ocean,Chicago,House of Blues Chicago,Danny Ocean - Tour 2023,Latin,0,2,54.5,39.5,vvG18Z93MswK6y,79,2297.0
932,Danny Ocean8,Danny Ocean,San Francisco,The Fillmore,Danny Ocean - Tour 2023,Latin,0,2,54.5,54.5,G5vYZ9KeRMUWF,79,19570.0
933,Danny Ocean9,Danny Ocean,Phoenix,The Van Buren,Danny Ocean - Tour 2023,Latin,1,2,59.5,59.5,G5v0Z93D4ndI4,79,3308.0
934,Danny Ocean10,Danny Ocean,Dallas,House of Blues Dallas,Danny Ocean - Tour 2023,Latin,0,2,59.5,59.5,vvG1YZ9KuU0sFo,79,1394928.0
935,Danny Ocean11,Danny Ocean,Houston,House of Blues Houston,Danny Ocean - Tour 2023,Latin,1,2,59.5,44.5,G5dIZ9303wzvk,79,2753.0
936,Danny Ocean12,Danny Ocean,El Paso,The Plaza Theatre Performing Arts Center,Danny Ocean - Tour 2023,Latin,0,2,149.5,39.5,vvG1YZ9KdmyUJK,79,3426354.0
937,Danny Ocean13,Danny Ocean,Atlanta,Buckhead Theatre,Danny Ocean - Tour 2023,Latin,0,2,59.5,54.5,vvG1zZ93UNDsgz,79,3155.0
938,Danny Ocean14,Danny Ocean,Charlotte,The Fillmore Charlotte,Danny Ocean - Tour 2023,Latin,1,2,49.5,49.5,G5eVZ93Bou-wQ,79,119192.0
939,Danny Ocean18,Danny Ocean,Washington D.C.,Howard Theatre,Danny Ocean Tour 2023,World,1,2,100.0,100.0,rZ7HnEZ1A3fbuA,79,1260391.0
940,Bastille0,Bastille,Dublin,Trinity College,Bastille,Rock,0,6,49.9,49.9,G5vOZ94w1ZNDo,75,589793.0
941,Bastille2,Bastille,Exeter,Powderham Castle,Bastille,Rock,1,7,101.95,51.95,G5vHZ94Xt73jC,75,1605.0
942,Bastille3,Bastille,Manchester,Castlefield Bowl,Bastille,Rock,0,7,39.5,39.5,G5vHZ94wE6d7_,75,8018.0
943,Bastille5,Bastille,Leeds,Millennium Square Leeds,Bastille,Rock,0,7,39.5,39.5,G5dbZ94wPuNzR,75,8018.0
944,Bastille6,Bastille,London,Alexandra Palace Park,Bastille,Rock,0,7,45.0,45.0,G5vHZ94S4OkLn,75,8018.0
945,Bastille8,Bastille,Newmarket,Newmarket Racecourses,Racing + Bastille,Rock,0,6,43.0,43.0,G5djZ94XgpxC4,75,119192.0
946,Vance Joy0,Vance Joy,London,Eventim Apollo,Vance Joy,Folk,1,4,32.5,27.5,G5dbZ91SzI0lY,75,1605.0
